wmi	make	country	region	source	all_makes
1NP	PETERBILT INCOMPLETE VEHICLE			WIKI	
1NX	NUMMI	UNITED STATES	NORTH AMERICA	VININFO	
1P2	DAIMLERCHRYSLER	GERMANY	EUROPE	KBA	
1P3	PLYMOUTH	UNITED STATES	NORTH AMERICA	VININFO	
1P4	PLYMOUTH	UNITED STATES	NORTH AMERICA	VININFO	
1P5	VOLKSWAGEN	UNITED STATES	NORTH AMERICA	VINGO	
1P6	VOLKSWAGEN	UNITED STATES	NORTH AMERICA	VINGO	
1P7	VOLKSWAGEN	UNITED STATES	NORTH AMERICA	VINGO	
1P8	CHRYSLER	GERMANY	EUROPE	KBA	
1P9	HAWK VEHICLES, INC. (TRIHAWK MOTORCYCLES)			WIKI	
1PM	POLAR TANK TRAILER (TRUCK TRAILER)			WIKI	
1PT	TRAILMOBILE TRAILER CORPORATION (TRUCK TRAILER)			WIKI	
1PY	JOHN DEERE			VINGO	
1R9	ROADRUNNER HAY SQUEEZE	UNITED STATES	NORTH AMERICA	VININFO	
1RF	ROADMASTER, MONACO COACH CORPORATION			WIKI	
1RN	REITNOUER (TRUCK TRAILER)			WIKI	
1S1	STRICK & CO	GERMANY	EUROPE	KBA	
1S2	STRICK & CO	GERMANY	EUROPE	KBA	
1S3	STRICK & CO	GERMANY	EUROPE	KBA	
1S6	JOHN DEERE	UNITED STATES	NORTH AMERICA	VINGO	
1S9	SCANIA	UNITED STATES	NORTH AMERICA	VINGO	
1ST	AIRSTREAM (RECREATIONAL VEHICLES)			WIKI	
1T7	THOMAS BUILT BUSES			WIKI	
1T8	THOMAS BUILT BUSES			WIKI	
1T9	THUNDER MOUNTAIN CUSTOM CYCLES			WIKI	
1TA	THEURER	GERMANY	EUROPE	KBA	
1TC	COACHMEN RECREATIONAL VEHICLE CO., LLC			WIKI	
1TD	TIMPTE (TRUCK TRAILER)			WIKI	
1TK	SCION			VININFO	
1TU	TRANSPORTATION MANUFACTURING CORPORATION			WIKI	
1UC	AM.MOT.COR.-AMC	GERMANY	EUROPE	KBA	
1UD	AM.MOT.COR.-AMC	GERMANY	EUROPE	KBA	
1UE	AM.MOT.COR.-AMC	GERMANY	EUROPE	KBA	
1UH	AM.MOT.COR.-AMC	GERMANY	EUROPE	KBA	
1UJ	JAYCO, INC.			WIKI	
1UM	AM.MOT.COR.-AMC	GERMANY	EUROPE	KBA	
1UT	JEEP	UNITED STATES		VINGO	
1UY	UTILITY TRAILER (TRUCK TRAILER)			WIKI	
1V1	VOLKSWAGEN USA (COMMERCIALS)	UNITED STATES	NORTH AMERICA	VININFO	
1V2	VOLKSWAGEN	UNITED STATES	NORTH AMERICA	VININFO	
1V3	VOLKSWAGEN	UNITED STATES		VINGO	
1V4	NISSAN			VININFO	
1V9	VECTOR AEROMOTIVE			WIKI	
1VH	ORION BUS INDUSTRIES			WIKI	
1VR	VERMEER CORPORATION			WIKI	
1VW	VOLKSWAGEN	UNITED STATES	NORTH AMERICA	VININFO	
1W8	WITZCO (TRUCK TRAILER)			WIKI	
1W9	WELD-IT COMPANY (TRUCK TRAILER)			WIKI	
1WA	WHITE MOTOR	GERMANY	EUROPE	KBA	
1WB	WHITE MOTOR	GERMANY	EUROPE	KBA	
1WD	WHITE MOTOR	GERMANY	EUROPE	KBA	
1WE	WHITE MOTOR	GERMANY	EUROPE	KBA	
1WH	WHITE MOTOR	GERMANY	EUROPE	KBA	
1WJ	WHITE MOTOR	GERMANY	EUROPE	KBA	
1WK	WHITE MOTOR	GERMANY	EUROPE	KBA	
1WL	WHITE MOTOR	GERMANY	EUROPE	KBA	
1WM	WHITE MOTOR	GERMANY	EUROPE	KBA	
1WN	WHITE MOTOR	GERMANY	EUROPE	KBA	
1WP	WHITE MOTOR	GERMANY	EUROPE	KBA	
1WS	WHITE MOTOR	GERMANY	EUROPE	KBA	
1WT	WINNEBAGO INDUSTRIES			WIKI	
1WU	WHITE MOTOR	GERMANY	EUROPE	KBA	
1WV	WINNEBAGO INDUSTRIES			WIKI	
1WW	WINNEBAGO INDUSTRIES			WIKI	
1WX	WHITE MOTOR	GERMANY	EUROPE	KBA	
1WY	WHITE MOTOR	GERMANY	EUROPE	KBA	
1XA	EXCALIBUR AUTOMOBILE CORPORATION			WIKI	
1XE	DAIMLERCHRYSLER	GERMANY	EUROPE	KBA	
1XF	DAIMLERCHRYSLER	GERMANY	EUROPE	KBA	
1XH	DAIMLERCHRYSLER	GERMANY	EUROPE	KBA	
1XK	KENWORTH			VININFO	
1XM	VOLKSWAGEN	UNITED STATES	NORTH AMERICA	VINGO	
1XP	PETERBILT			VININFO	
1Y1	CHEVROLET	UNITED STATES	NORTH AMERICA	VININFO	
1YJ	ROKON INTERNATIONAL, INC.			WIKI	
1YV	MAZDA	UNITED STATES	NORTH AMERICA	VININFO	
1YZ	MAZDA	UNITED STATES		VINGO	
1Z2	VOLKSWAGEN	UNITED STATES	NORTH AMERICA	VINGO	
1Z3	MITSUBISHI	UNITED STATES	NORTH AMERICA	VININFO	
1Z4	VOLKSWAGEN	UNITED STATES	NORTH AMERICA	VINGO	
1Z5	CHRYSLER	GERMANY	EUROPE	KBA	
1Z6	VOLKSWAGEN	UNITED STATES	NORTH AMERICA	VINGO	
1Z7	MITSUBISHI	UNITED STATES	NORTH AMERICA	VININFO	
1Z8	VOLKSWAGEN	UNITED STATES	NORTH AMERICA	VINGO	
1Z9	ZERO MOTORCYCLES	GERMANY	EUROPE	KBA	
1ZV	AUTO ALLIANCE INTERNATIONAL	UNITED STATES	NORTH AMERICA	VININFO	
1ZW	MERCURY	UNITED STATES	NORTH AMERICA	VININFO	
202	MORGAN	GERMANY	EUROPE	KBA	
207	RADICAL	GERMANY	EUROPE	KBA	
208	XOS, INC.			WIKI	
210	FORD			VININFO	
213	PANOZ			WIKI	
